,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
115,Cururupu,100,BR,1583292968,98,-1.83,-44.87,296.51,0.67
116,Aktash,100,RU,1583292968,89,50.3,87.73,264.91,4.97
117,Lebu,0,CL,1583292898,85,-37.62,-73.65,286.78,4.29
118,Salalah,0,OM,1583292879,78,17.02,54.09,295.15,1.5
119,Hilo,90,US,1583292819,88,19.73,-155.09,296.15,1.5
120,Samarai,48,PG,1583292898,60,-10.62,150.67,305.22,3.22
121,Fort Collins,1,US,1583292968,33,40.59,-105.08,279.26,4.1
122,San Patricio,0,MX,1583292911,82,19.22,-104.7,296.54,7.96
123,Caravelas,100,BR,1583292917,81,-17.71,-39.25,300.73,4.77
124,Tigzirt,100,DZ,1583292968,73,36.89,4.12,288.89,10.54
125,Barrow,1,US,1583292873,74,71.29,-156.79,242.15,3.1
126,Camacha,20,PT,1583292748,77,33.08,-16.33,290.15,2.6
127,Alyangula,92,AU,1583292969,63,-13.85,136.42,306.15,6.2
128,Provideniya,69,RU,1583292888,72,64.38,-173.3,261.15,3.0
129,Okha,100,RU,1583292969,86,53.57,142.95,263.01,2.01
130,Selkirk,75,CA,1583292969,73,50.14,-96.88,266.15,2.1
131,Shingū,75,JP,1583292924,87,33.73,135.98,285.15,1.5
132,Pingliang,0,CN,1583292969,32,35.54,106.69,279.51,2.3
133,Port Keats,95,AU,1583292969,63,-14.25,129.55,302.21,3.78
134,Pangnirtung,100,CA,1583292889,73,66.15,-65.71,254.74,1.14
135,Faanui,79,PF,1583292886,77,-16.48,-151.75,301.51,4.27
136,Chui,0,UY,1583292882,89,-33.7,-53.46,292.93,4.15
137,Rūdbār,0,AF,1583292970,56,30.15,62.6,287.5,4.06
138,Iqaluit,90,CA,1583292878,84,63.75,-68.51,258.15,2.6
139,Surgut,75,RU,1583292970,92,61.25,73.42,272.15,8.0
140,Tura,18,IN,1583292970,35,25.52,90.22,299.38,2.9
141,Port Hardy,75,CA,1583292874,86,50.7,-127.42,277.15,6.7
142,Leningradskiy,100,RU,1583292876,89,69.38,178.42,260.12,9.51
143,Otradnoye,90,RU,1583292970,96,59.78,30.82,275.15,4.0
144,Kapaa,40,US,1583292873,78,22.08,-159.32,299.15,4.1
145,Cape Town,0,ZA,1583292750,88,-33.93,18.42,291.15,7.7
146,Bako,74,ET,1583292970,62,5.78,36.57,294.02,1.61
147,Hambantota,40,LK,1583292633,94,6.12,81.12,299.15,1.0
148,Podor,0,MR,1583292971,31,16.65,-14.96,296.15,1.0
149,Yar-Sale,77,RU,1583292971,95,66.83,70.83,261.84,5.22
150,Hofn,57,IS,1583292892,61,64.25,-15.21,276.6,10.32
151,Southbridge,90,US,1583292971,93,42.08,-72.03,283.15,6.2
152,Dejen,63,ET,1583292971,41,10.17,38.13,293.43,0.63
153,Grand Gaube,20,MU,1583292889,94,-20.01,57.66,299.82,2.56
154,Cayenne,75,GF,1583292680,74,4.93,-52.33,300.15,4.1
155,Jos,97,NG,1583292971,18,9.92,8.9,294.04,1.4
156,Tiksi,100,RU,1583292880,79,71.69,128.87,257.49,14.46
157,Anadyr,0,RU,1583292972,71,64.75,177.48,260.15,9.0
158,Mar del Plata,0,AR,1583292612,94,-38.0,-57.56,294.82,1.5
